Primes calculation in MicroPython v5.2 2023/12/13
ESP8266 with 80.0 MHz
    last        time in seconds
        100         0.015034
       1000         0.155045
      10000         2.01144
     100000        29.7401
    1000000       496.087
   10000000   0
   25000000   0
  100000000   0
 1000000000   0
