Calculating prime numbers in Arduino C v2.0.2022
2023/11/30
Raspberry Pico 2040 with 125 MHz

    last       time in seconds
          100          0.000397
        1,000          0.006114
       10,000          0.135354
      100,000          3.214629
    1,000,000         80.245743
   10,000,000       2079.849
   25,000,000       7660.225
  100,000,000      55269.925     or 15 hours
1,000,000,000                     to be expected 17 days

