Summary of prime v6.0.2023 in python
Intel(R) Xeon(R) CPU           X5550  @ 2.67GHz
     last       time in microseconds
          100   510612.9 
         1000   439916.4 
        10000   435437.9 
       100000   453946.6 
      1000000   851329.0 
     10000000   5970312.7 
     25000000   18445194.8 
    100000000   86301416.2 
   1000000000   1977926572.7 
