Calculating prime numbers in Arduino C v5.0.2022
2023/12/06
ESP32 with 160 MHz

    last       time in seconds       
          100         0.000403    
        1,000         0.002847     
       10,000         0.029261       
      100,000         0.320269   
    1,000,000         3.817038   
   10,000,000        52.127140
   25,000,000       155.627914
  100,000,000       856.415466
1,000,000,000     17026.424     or 4h 43min 46s 

